OBJECTID,station_co,station_na,COMID,GNIS_NAME,ATTRIBUTE
125,305CAW057,Salsipuedes Creek ~0.6mi above Hw 129,17663255,Salsipuedes Creek,
126,309CAW194,San Antonio River above Del Venturi Rd.,8209329,San Antonio River,R4SBC
127,309CAW174,San Antonio River NF above Carrizo Creek,8204149,North Fork San Antonio River,R4SBC
128,310CAW192,San Luis Obispo Creek ~1.1mi above Reservoir Canyon Creek,8192653,San Luis Obispo Creek,R3UBH
129,304CAW016,San Vicente Creek at Davenport,17682536,San Vicente Creek,PFOC
130,304CAW081,Soquel Creek ~0.2mi above Laurel Glen Rd.,17683352,Soquel Creek,R3UBH
131,309CAW126,Tassajara Creek ~0.3mi above Tassajara Hot Springs,8203401,Tassajara Creek,R3UBH
132,305CAW097,Bodfish Creek ~0.45mi below Whitehurst Rd.,17661653,Bodfish Creek,PFOC
133,314WE1102,Cachuma Creek ~0.25mi below Cachuma Cmp Grnd,17609433,Cachuma Creek,
134,308CAW055,Garrapata Creek ~0.2mi below Joshua Creek,8188693,Garrapata Creek,R3UBH
135,305CAW049,Pacheco Creek ~1.3mi above South Fork,17662371,Pacheco Creek,R4SBC
136,304CAW153,Scott Creek ~4mi below Little Basin,17682680,Scott Creek,R3UBH
137,309CAW116,Toro Creek at Gaging Station,8214349,Toro Creek,R4SBC
138,309CAW130,Nacimiento River 0.7mi above Slickrock Creek,8209419,Nacimiento River,R4SBC
139,309CAW182,San Antonio River ~1.4mi above Sam Jones Rd.,8210487,San Antonio River,R4SBC
140,305CAW161,Uvas Creek ~0.4mi below Thomas Rd,17663007,Carnadero Creek,R4USC
141,309CAW050,San Antonio River at Oro Fino Canyon,8209461,San Antonio River,R4SBC
142,310UPN,Upper Pennington Creek,8193599,Pennington Creek,R4SBC
143,310TUR,Warden Creek @ Turi Road,8192647, ,R4SBCx
144,310UCR,Chorro Creek @ upper Chorro Creek Ecological Reserve,8192613,Chorro Creek,R2UBH
145,310CER,"Chorro Creek above Ecological Reserve, ~0.3mi above San Luisito Creek",8192599,Chorro Creek,R2UBH
146,310CHO,Chorro Creek at Camp SLO,8193603,Chorro Creek,R3UBH
147,310TWB,Chorro Creek at South Bay Boulevard,8193581,Chorro Creek,R1UBV
148,310COO,Coon Creek at Pecho Valley Road,8193645,Coon Creek,R3UBH
149,310DAM,Dairy Creek within Cattle exclosure,8192615,Dairy Creek,PSSA
150,310CLV,Los Osos Creek 1.0 mi downstream from 310CLK,8192687,Los Osos Creek,PFO/SSC
151,310LVR,Los Osos Creek Los Osos Valley Rd.,8193607,Los Osos Creek,PFO/SSC
152,310CPN,Pennington Creek @ bridge,8193599,Pennington Creek,R4SBC
153,310PEN,Pennington Creek at Hwy 1,8193599,Pennington Creek,R4SBC
154,310APN,Pennington Creek upstream from horse corral,8193599,Pennington Creek,R4SBC
155,310SLU,San Luisito Creek @ Adobe Rd,8192585,San Luisito Creek,PSSAx
156,310UWR,Warden Creek 1.5 mi upstream from Turri Rd,8193609, ,PSSCx
157,310CAN,Chorro Creek at Canet Road,8192599,Chorro Creek,R2UBH
158,310DAL,Dairy Creek lower limit,8192615,Dairy Creek,PSSC
159,310SYB,Los Osos Creek @ Turri Rd no littering sign,8193593,Los Osos Creek,E1UBL
160,310SBE,San Bernardo Creek @ Adobe Rd,8193579,San Bernardo Creek,PFO/SSC
161,310DAU,Dairy Creek above Cattle Enclosure,8192615,Dairy Creek,R4SBC
162,310CHD,Chorro Creek below Chorro Creek Dam,8193595,Chorro Creek,R4SBCx
163,310CLK,Los Osos Creek Clark Valley Road,8192687,Los Osos Creek,PFO/SSC
164,310MNO,"San Bernardo Creek, Maino Ranch",8193579,San Bernardo Creek,PFO/SSC
165,310LSL,San Luisito Creek Lower,8192577,San Luisito Creek,PFOC
166,310USL,San Luisito Creek Upper,8193577,San Luisito Creek,R3UBH
167,CMWCP00,Carpinteria Creek at 8th Street,17596159,Carpinteria Creek,R4SBC
168,CMWFK00,Franklin Creek at Carpinteria Ave.,17595477,Franklin Creek,R4SBCx
169,CMWSM01,Santa Monica Creek at Via Real,17595473,Santa Monica Creek,R4SBCx
170,GVWAT2,Atascadero Creek at Patterson,17595395,Atascadero Creek,R4SBC
171,GVWAT3,Atascadero Creek at Puente Drive,17595361,Atascadero Creek,R4SBCx
172,GVWAT1,Atascadero Creek at Ward,17595429,Atascadero Creek,R2UBF
173,GVWBL2,Bell Creek at San Miguel Open Space,17595359, ,PFOC
174,GVWCG1,Cieneguitas Creek at Nogal Drive,17595357,Cieneguitas Creek,R4SBCx
175,GVWDV21,El Encanto Creek (Phelps Ditch) above Ocean Meadows Golf Course,17595413, ,R4SBAx
176,GVWDV24,El Encanto Creek (Phelps Ditch) at Padova Park,17595413, ,PFOC
177,GVWDV22,El Encanto Creek (Phelps Ditch) at Phelps Rd.,17595413, ,R4SBAx
178,GVWDV20,El Encanto Creek at Devereux Slough,17595433, ,R2UBHx
179,GVWGA2,Glen Annie/Tecolotito Creek at Cathedral Oaks,17595369,Tecolotito Creek,R4SBC
180,GVWGA1,Glen Annie/Tecolotito Creek at Hollister Avenue,17595369,Tecolotito Creek,R4SBCx
181,GVWLV1,Las Vegas Creek at La Goleta Road,17595351,Las Vegas Creek,PFOC
182,GVWLC2,Los Carneros Creek at Calle Rea,17595367, ,PFOC
183,GVWLC1,Los Carneros Creek at Hollister,17595367, ,R2UBHx
184,GVWMY2,Maria Ygnacio at Old San Marcos Road,17596111,Maria Ygnacio Creek,PFOC
185,GVWMY1,Maria Ygnacio Creek at Patterson,17595393,Maria Ygnacio Creek,R4SBC
186,GVWSJ1,San Jose Creek at Hollister Avenue,17595405,San Jose Creek,R4SBC
